symbol,company,industry,market_cap
ADVB,Advanced Biomed Inc.,Diagnostics & Research,8.14M
ADVM,"Adverum Biotechnologies, Inc.",Biotechnology,46.80M
ADXN,Addex Therapeutics Ltd,Biotechnology,6.44M
AEBI,Aebi Schmidt Holding AG,Farm & Heavy Construction Machinery,862.91M
AEE,Ameren Corporation,Utilities - Regulated Electric,27.41B
AEG,Aegon Ltd.,Insurance - Diversified,11.62B
AEHL,Antelope Enterprise Holdings Limited,Building Products & Equipment,2.42M
AEHR,"Aehr Test Systems, Inc.",Semiconductor Equipment & Materials,522.92M
AEI,Alset Inc.,Real Estate - Development,45.19M
AEIS,"Advanced Energy Industries, Inc.",Electrical Equipment & Parts,5.71B
AEM,Agnico Eagle Mines Limited,Gold,68.05B
AEMD,"Aethlon Medical, Inc.",Medical Devices,2.49M
AENT,Alliance Entertainment Holding Corporation,Entertainment,271.60M
AEO,"American Eagle Outfitters, Inc.",Apparel Retail,2.18B
AEON,"AEON Biopharma, Inc.",Biotechnology,7.42M
AEP,"American Electric Power Company, Inc.",Utilities - Regulated Electric,59.90B
AER,AerCap Holdings N.V.,Rental & Leasing Services,19.23B
AERT,"Aeries Technology, Inc",Consulting Services,31.28M
AES,The AES Corporation,Utilities - Diversified,9.11B
AESI,Atlas Energy Solutions Inc.,Oil & Gas Equipment & Services,1.42B
AEVA,"Aeva Technologies, Inc.",Software - Infrastructure,766.06M
AEYE,"AudioEye, Inc.",Software - Application,127.24M
AFBI,"Affinity Bancshares, Inc.",Banks - Regional,120.97M
AFCG,Advanced Flower Capital Inc.,REIT - Mortgage,104.85M
AFG,"American Financial Group, Inc.",Insurance - Property & Casualty,10.71B
AFJK,"Aimei Health Technology Co., Ltd",Shell Companies,68.62M
AFL,Aflac Incorporated,Insurance - Life,55.71B
AFRI,Forafric Global PLC,Farm Products,209.56M
AFRM,"Affirm Holdings, Inc.",Software - Infrastructure,23.54B
AFYA,Afya Limited,Education & Training Services,1.33B
AG,First Majestic Silver Corp.,Silver,4.23B
AGAE,Allied Gaming & Entertainment Inc.,Entertainment,59.69M
AGCO,AGCO Corporation,Farm & Heavy Construction Machinery,8.26B
AGEN,Agenus Inc.,Biotechnology,117.07M
AGFY,Agrify Corporation,Farm & Heavy Construction Machinery,52.10M
AGH,Aureus Greenway Holdings Inc.,Leisure,53.85M
AGI,Alamos Gold Inc.,Gold,11.01B
AGIO,"Agios Pharmaceuticals, Inc.",Biotechnology,2.04B
AGL,"agilon health, inc.",Medical Care Facilities,357.77M
AGM,Federal Agricultural Mortgage Corporation,Credit Services,1.96B
AGM.A,Federal Agricultural Mortgage Corporation,Credit Services,1.91B
AGMH,AGM Group Holdings Inc.,Computer Hardware,4.36M
AGNC,AGNC Investment Corp.,REIT - Mortgage,9.72B
AGNCM,AGNC Investment Corp.,REIT - Mortgage,9.72B
AGO,Assured Guaranty Ltd.,Insurance - Specialty,3.91B
AGRI,AgriFORCE Growing Systems Ltd.,Farm Products,5.22M
AGRO,Adecoagro S.A.,Farm Products,918.94M
AGX,"Argan, Inc.",Engineering & Construction,3.11B
AGYS,"Agilysys, Inc.",Software - Application,2.95B
AHCO,AdaptHealth Corp.,Medical Devices,1.23B
AHG,Akso Health Group,Medical Distribution,623.38M
AHH,"Armada Hoffler Properties, Inc.",REIT - Diversified,720.47M
AHL,Aspen Insurance Holdings Limited,Insurance - Property & Casualty,2.63B
AHR,"American Healthcare REIT, Inc.",REIT - Healthcare Facilities,6.89B
AHT,"Ashford Hospitality Trust, Inc.",REIT - Hotel & Motel,38.11M
AI,"C3.ai, Inc.",Software - Infrastructure,2.21B
AIFF,"Firefly Neuroscience, Inc.",Software - Application,36.87M
AIFU,AIFU Inc.,Insurance Brokers,32.21M
AIG,"American International Group, Inc.",Insurance - Diversified,43.56B
AIHS,Senmiao Technology Limited,Rental & Leasing Services,2.40M
AII,"American Integrity Insurance Group, Inc.",Insurance - Property & Casualty,348.19M
AIMD,"Ainos, Inc.",Medical Devices,13.54M
AIN,Albany International Corp.,Textile Manufacturing,1.81B
AIOT,"PowerFleet, Inc.",Software - Infrastructure,585.82M
AIP,"Arteris, Inc.",Semiconductors,388.11M
AIR,AAR Corp.,Aerospace & Defense,2.67B
AIRE,reAlpha Tech Corp.,Real Estate Services,28.47M
AIRG,"Airgain, Inc.",Communication Equipment,53.68M
AIRI,Air Industries Group,Aerospace & Defense,12.53M
AIRJ,AirJoule Technologies Corporation,Building Products & Equipment,284.31M
AIRO,"AIRO Group Holdings, Inc.",Aerospace & Defense,533.96M
AIRS,"AirSculpt Technologies, Inc.",Medical Care Facilities,408.96M
AIRT,"Air T, Inc.",Conglomerates,59.35M
AISP,"Airship AI Holdings, Inc.",Software - Infrastructure,155.72M
AISPW,"Airship AI Holdings, Inc.",Software - Infrastructure,155.72M
AIT,"Applied Industrial Technologies, Inc.",Industrial Distribution,10.00B
AIV,Apartment Investment and Management Company,REIT - Residential,1.21B
AIXI,Xiao-I Corporation,Software - Application,20.61M
AIZ,"Assurant, Inc.",Insurance - Property & Casualty,10.38B
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,74.07B
AKA,a.k.a. Brands Holding Corp.,Apparel Retail,120.37M
AKAM,"Akamai Technologies, Inc.",Software - Infrastructure,10.12B
AKAN,Akanda Corp.,Drug Manufacturers - Specialty & Generic,3.12M
AKBA,"Akebia Therapeutics, Inc.",Drug Manufacturers - Specialty & Generic,888.24M
AKO.A,Embotelladora Andina S.A.,Beverages - Non-Alcoholic,3.35B
AKO.B,Embotelladora Andina S.A.,Beverages - Non-Alcoholic,3.35B
AKR,Acadia Realty Trust,REIT - Retail,2.51B
AKRO,"Akero Therapeutics, Inc.",Biotechnology,3.86B
AKTX,"Akari Therapeutics, Plc",Biotechnology,34.25M
AL,Air Lease Corporation,Rental & Leasing Services,6.16B
ALAB,"Astera Labs, Inc.",Semiconductors,29.82B
ALAR,Alarum Technologies Ltd.,Software - Infrastructure,108.88M
ALB,Albemarle Corporation,Specialty Chemicals,9.50B
ALB.PRA,Albemarle Corporation,-,9.50B
ALBT,Avalon GloboCare Corp.,Real Estate Services,7.77M
ALC,Alcon Inc.,Medical Instruments & Supplies,42.12B
ALCO,"Alico, Inc.",Farm Products,247.45M
ALCY,Alchemy Investments Acquisition Corp 1,Shell Companies,54.39M
ALDF,Aldel Financial II Inc.,Shell Companies,373.62M
ALDX,"Aldeyra Therapeutics, Inc.",Biotechnology,314.45M
ALE,"ALLETE, Inc.",Utilities - Diversified,3.82B
ALEC,"Alector, Inc.",Biotechnology,225.70M
ALEX,"Alexander & Baldwin, Inc.",REIT - Retail,1.32B
ALF,Centurion Acquisition Corp.,Shell Companies,378.15M
ALG,Alamo Group Inc.,Farm & Heavy Construction Machinery,2.68B
ALGM,"Allegro MicroSystems, Inc.",Semiconductors,5.52B
ALGN,"Align Technology, Inc.",Medical Instruments & Supplies,9.77B
ALGS,"Aligos Therapeutics, Inc.",Biotechnology,46.32M
ALGT,Allegiant Travel Company,Airlines,870.11M
ALHC,"Alignment Healthcare, Inc.",Healthcare Plans,2.89B
ALIT,"Alight, Inc.",Software - Application,2.03B
ALK,"Alaska Air Group, Inc.",Airlines,5.90B
ALKS,Alkermes plc,Drug Manufacturers - Specialty & Generic,4.38B
ALKT,"Alkami Technology, Inc.",Software - Application,2.15B
ALL,The Allstate Corporation,Insurance - Property & Casualty,54.41B
ALLE,Allegion plc,Security & Protection Services,14.12B
ALLO,"Allogene Therapeutics, Inc.",Biotechnology,225.29M
ALLR,"Allarity Therapeutics, Inc.",Biotechnology,14.31M
ALLT,Allot Ltd.,Software - Infrastructure,352.29M
ALLY,Ally Financial Inc.,Credit Services,11.46B
ALM,Almonty Industries Inc.,Other Industrial Metals & Mining,964.92M
ALMS,Alumis Inc.,Biotechnology,447.84M
ALMU,"Aeluma, Inc.",Semiconductors,321.75M
ALNT,Allient Inc.,Electronic Components,730.75M
ALNY,"Alnylam Pharmaceuticals, Inc.",Biotechnology,57.02B
ALOT,"AstroNova, Inc.",Computer Hardware,89.48M
ALRM,"Alarm.com Holdings, Inc.",Software - Application,2.66B
ALRS,Alerus Financial Corporation,Banks - Regional,526.47M
ALSN,"Allison Transmission Holdings, Inc.",Auto Parts,7.38B
ALT,"Altimmune, Inc.",Biotechnology,274.14M
ALTG,Alta Equipment Group Inc.,Rental & Leasing Services,243.56M
ALTI,"AlTi Global, Inc.",Asset Management,650.98M
ALTO,"Alto Ingredients, Inc.",Specialty Chemicals,78.95M
ALTS,ALT5 Sigma Corporation,Software - Application,132.94M
ALUR,Allurion Technologies Inc.,Medical Devices,19.46M
ALV,"Autoliv, Inc.",Auto Parts,8.59B
ALVO,Alvotech,Drug Manufacturers - Specialty & Generic,2.67B
ALX,"Alexander's, Inc.",REIT - Retail,1.10B
ALXO,ALX Oncology Holdings Inc.,Biotechnology,32.84M
ALZN,"Alzamend Neuro, Inc.",Biotechnology,7.54M
AM,Antero Midstream Corporation,Oil & Gas Midstream,8.83B
AMAL,Amalgamated Financial Corp.,Banks - Regional,848.77M
AMAT,"Applied Materials, Inc.",Semiconductor Equipment & Materials,147.96B
AMBA,"Ambarella, Inc.",Semiconductor Equipment & Materials,2.73B
