symbol,company,industry,market_cap
CIG.C,Companhia Energética de Minas Gerais - CEMIG,Utilities - Diversified,6.35B
CIGI,Colliers International Group Inc.,Real Estate Services,7.88B
CIGL,Concorde International Group Ltd.,Security & Protection Services,42.87M
CIIT,"Tianci International, Inc.",Electronics & Computer Distribution,15.88M
CIM,Chimera Investment Corporation,REIT - Mortgage,1.08B
CINF,Cincinnati Financial Corporation,Insurance - Property & Casualty,23.44B
CING,Cingulate Inc.,Biotechnology,21.32M
CINT,CI&T Inc.,Software - Infrastructure,696.85M
CIO,"City Office REIT, Inc.",REIT - Office,280.12M
CION,CION Investment Corporation,Asset Management,566.94M
CISO,CISO Global Inc.,Software - Infrastructure,29.95M
CISS,C3is Inc.,Marine Shipping,2.43M
CIVB,"Civista Bancshares, Inc.",Banks - Regional,378.15M
CIVI,"Civitas Resources, Inc.",Oil & Gas Exploration & Production,2.85B
CIX,CompX International Inc.,Security & Protection Services,363.16M
CJET,"Chijet Motor Company, Inc.",Auto Manufacturers,8.79M
CJMB,Callan JMB Inc.,Integrated Freight & Logistics,20.75M
CKX,"CKX Lands, Inc.",Oil & Gas Exploration & Production,24.64M
CL,Colgate-Palmolive Company,Household & Personal Products,68.25B
CLAR,Clarus Corporation,Leisure,123.46M
CLB,Core Laboratories Inc.,Oil & Gas Equipment & Services,456.75M
CLBK,"Columbia Financial, Inc.",Banks - Regional,1.50B
CLBT,Cellebrite DI Ltd.,Software - Infrastructure,3.24B
CLCO,Cool Company Ltd.,Oil & Gas Midstream,378.69M
CLDI,"Calidi Biotherapeutics, Inc.",Biotechnology,15.25M
CLDT,Chatham Lodging Trust,REIT - Hotel & Motel,344.87M
CLDX,"Celldex Therapeutics, Inc.",Biotechnology,1.33B
CLF,Cleveland-Cliffs Inc.,Steel,4.81B
CLFD,"Clearfield, Inc.",Communication Equipment,451.46M
CLGN,CollPlant Biotechnologies Ltd.,Biotechnology,37.89M
CLH,"Clean Harbors, Inc.",Waste Management,12.77B
CLIK,Click Holdings Limited,Personal Services,10.25M
CLIR,ClearSign Technologies Corporation,Pollution & Treatment Controls,28.31M
CLLS,Cellectis S.A.,Biotechnology,192.47M
CLMB,"Climb Global Solutions, Inc.",Electronics & Computer Distribution,536.88M
CLMT,"Calumet, Inc.",Specialty Chemicals,1.15B
CLNE,Clean Energy Fuels Corp.,Oil & Gas Refining & Marketing,451.74M
CLNN,Clene Inc.,Packaged Foods,34.31M
CLOV,"Clover Health Investments, Corp.",Healthcare Plans,1.27B
CLPR,Clipper Realty Inc.,REIT - Residential,172.40M
CLPS,CLPS Incorporation,Information Technology Services,25.47M
CLPT,"ClearPoint Neuro, Inc.",Medical Devices,299.61M
CLRB,"Cellectar Biosciences, Inc.",Biotechnology,12.69M
CLRO,"ClearOne, Inc.",Communication Equipment,7.90M
CLS,Celestica Inc.,Electronic Components,23.55B
CLSD,"Clearside Biomedical, Inc.",Biotechnology,31.64M
CLSK,"CleanSpark, Inc.",Capital Markets,2.77B
CLST,"Catalyst Bancorp, Inc.",Banks - Regional,52.84M
CLVT,Clarivate Plc,Information Technology Services,2.64B
CLW,Clearwater Paper Corporation,Paper & Paper Products,350.43M
CLWT,Euro Tech Holdings Company Limited,Pollution & Treatment Controls,9.44M
CLX,The Clorox Company,Household & Personal Products,14.93B
CLYM,"Climb Bio, Inc.",Biotechnology,111.50M
CM,Canadian Imperial Bank of Commerce,Banks - Diversified,67.96B
CMA,Comerica Incorporated,Banks - Regional,8.46B
CMBM,Cambium Networks Corporation,Communication Equipment,23.36M
CMBT,Cmb.Tech NV,Oil & Gas Midstream,1.73B
CMC,Commercial Metals Company,Steel,5.93B
CMCL,Caledonia Mining Corporation Plc,Gold,412.33M
CMCM,Cheetah Mobile Inc.,Internet Content & Information,144.00M
CMCO,Columbus McKinnon Corporation,Farm & Heavy Construction Machinery,385.84M
CMCSA,Comcast Corporation,Telecom Services,115.97B
CMCT,Creative Media & Community Trust Corporation,REIT - Office,5.82M
CMDB,Costamare Bulkers Holdings Limited,Marine Shipping,223.40M
CME,CME Group Inc.,Financial Data & Stock Exchanges,102.98B
CMG,"Chipotle Mexican Grill, Inc.",Restaurants,55.81B
CMI,Cummins Inc.,Specialty Industrial Machinery,53.50B
CMMB,Chemomab Therapeutics Ltd.,Biotechnology,18.21M
CMND,Clearmind Medicine Inc.,Biotechnology,5.13M
CMP,"Compass Minerals International, Inc.",Other Industrial Metals & Mining,894.84M
CMPO,"CompoSecure, Inc.",Metal Fabrication,1.84B
CMPR,Cimpress plc,Specialty Business Services,1.36B
CMPS,COMPASS Pathways plc,Medical Care Facilities,416.39M
CMPX,"Compass Therapeutics, Inc.",Biotechnology,461.86M
CMRC,"Commerce.com, Inc.",Software - Application,335.86M
CMRE,Costamare Inc.,Marine Shipping,1.28B
CMS,CMS Energy Corporation,Utilities - Regulated Electric,21.83B
CMT,"Core Molding Technologies, Inc.",Specialty Chemicals,145.97M
CMTG,"Claros Mortgage Trust, Inc.",REIT - Mortgage,446.03M
CMTL,Comtech Telecommunications Corp.,Communication Equipment,58.50M
CNA,CNA Financial Corporation,Insurance - Property & Casualty,12.81B
CNC,Centene Corporation,Healthcare Plans,12.40B
CNCK,Coincheck Group N.V.,Capital Markets,584.74M
CNDT,Conduent Incorporated,Information Technology Services,402.04M
CNET,ZW Data Action Technologies Inc.,Advertising Agencies,3.54M
CNEY,CN Energy Group. Inc.,Specialty Chemicals,1.01M
CNF,CNFinance Holdings Limited,Mortgage Finance,43.89M
CNFR,"Conifer Holdings, Inc.",Insurance - Property & Casualty,10.32M
CNH,CNH Industrial N.V.,Farm & Heavy Construction Machinery,15.60B
CNI,Canadian National Railway Company,Railroads,58.18B
CNK,"Cinemark Holdings, Inc.",Entertainment,2.91B
CNL,Collective Mining Ltd.,Gold,811.09M
CNM,"Core & Main, Inc.",Industrial Distribution,12.56B
CNMD,CONMED Corporation,Medical Devices,1.62B
CNNE,"Cannae Holdings, Inc.",Restaurants,1.26B
CNO,"CNO Financial Group, Inc.",Insurance - Life,3.59B
CNOB,"ConnectOne Bancorp, Inc.",Banks - Regional,1.15B
CNP,"CenterPoint Energy, Inc.",Utilities - Regulated Electric,25.18B
CNQ,Canadian Natural Resources Limited,Oil & Gas Exploration & Production,62.42B
CNR,"Core Natural Resources, Inc.",Thermal Coal,3.87B
CNS,"Cohen & Steers, Inc.",Asset Management,3.74B
CNSP,"CNS Pharmaceuticals, Inc.",Biotechnology,3.51M
CNTA,Centessa Pharmaceuticals plc,Biotechnology,2.22B
CNTB,Connect Biopharma Holdings Limited,Biotechnology,113.90M
CNTX,Context Therapeutics Inc.,Biotechnology,60.75M
CNTY,"Century Casinos, Inc.",Resorts & Casinos,64.54M
CNVS,Cineverse Corp.,Entertainment,94.78M
CNX,CNX Resources Corporation,Oil & Gas Exploration & Production,4.07B
CNXC,Concentrix Corporation,Information Technology Services,2.90B
CNXN,"PC Connection, Inc.",Electronics & Computer Distribution,1.56B
COCH,"Envoy Medical, Inc.",Medical Devices,32.93M
COCO,"The Vita Coco Company, Inc.",Beverages - Non-Alcoholic,1.85B
COCP,"Cocrystal Pharma, Inc.",Biotechnology,16.28M
CODA,"Coda Octopus Group, Inc.",Aerospace & Defense,83.24M
CODI,Compass Diversified,Conglomerates,501.07M
CODX,"Co-Diagnostics, Inc.",Medical Devices,8.51M
COE,51Talk Online Education Group,Education & Training Services,192.01M
COEP,"Coeptis Therapeutics Holdings, Inc.",Biotechnology,39.67M
COF,Capital One Financial Corporation,Credit Services,133.18B
COFS,"ChoiceOne Financial Services, Inc.",Banks - Regional,433.93M
COGT,"Cogent Biosciences, Inc.",Biotechnology,1.53B
COHN,Cohen & Company Inc.,Capital Markets,67.25M
COHR,Coherent Corp.,Scientific & Technical Instruments,17.66B
COHU,"Cohu, Inc.",Semiconductor Equipment & Materials,895.35M
COIN,"Coinbase Global, Inc.",Financial Data & Stock Exchanges,82.12B
COKE,"Coca-Cola Consolidated, Inc.",Beverages - Non-Alcoholic,9.96B
COLA,Columbus Acquisition Corp,Shell Companies,80.79M
COLB,"Columbia Banking System, Inc.",Banks - Regional,5.11B
COLD,"Americold Realty Trust, Inc.",REIT - Industrial,4.08B
COLL,"Collegium Pharmaceutical, Inc.",Drug Manufacturers - Specialty & Generic,1.14B
COLM,Columbia Sportswear Company,Apparel Manufacturing,2.71B
COMM,"CommScope Holding Company, Inc.",Communication Equipment,3.38B
COMP,"Compass, Inc.",Real Estate Services,4.35B
CON,"Concentra Group Holdings Parent, Inc.",Medical Care Facilities,2.75B
COO,"The Cooper Companies, Inc.",Medical Instruments & Supplies,14.14B
COOK,"Traeger, Inc.","Furnishings, Fixtures & Appliances",183.45M
COOP,Mr. Cooper Group Inc.,Mortgage Finance,11.54B
COOT,Australian Oilseeds Holdings Limited,Packaged Foods,14.47M
COP,ConocoPhillips,Oil & Gas Exploration & Production,116.81B
COPL,Copley Acquisition Corp,Shell Companies,233.35M
COR,"Cencora, Inc.",Medical Distribution,56.36B
CORT,Corcept Therapeutics Incorporated,Biotechnology,7.58B
CORZ,"Core Scientific, Inc.",Software - Infrastructure,4.44B
COSM,Cosmos Health Inc.,Medical Distribution,22.27M
COSO,"CoastalSouth Bancshares, Inc.",Banks - Regional,205.48M
COST,Costco Wholesale Corporation,Discount Stores,438.48B
COTY,Coty Inc.,Household & Personal Products,4.12B
COUR,"Coursera, Inc.",Education & Training Services,1.91B
COYA,"Coya Therapeutics, Inc.",Biotechnology,102.86M
CP,Canadian Pacific Kansas City Limited,Railroads,68.38B
CPA,"Copa Holdings, S.A.",Airlines,4.83B
CPAC,Cementos Pacasmayo S.A.A.,Building Materials,526.58M
CPAY,"Corpay, Inc.",Software - Infrastructure,21.45B
CPB,The Campbell's Company,Packaged Foods,9.57B
CPBI,"Central Plains Bancshares, Inc.",Banks - Regional,59.85M
CPF,Central Pacific Financial Corp.,Banks - Regional,729.85M
CPHC,Canterbury Park Holding Corporation,Resorts & Casinos,89.01M
CPHI,"China Pharma Holdings, Inc.",Drug Manufacturers - Specialty & Generic,4.40M
CPIX,Cumberland Pharmaceuticals Inc.,Drug Manufacturers - Specialty & Generic,42.64M
CPK,Chesapeake Utilities Corporation,Utilities - Regulated Gas,2.91B
CPNG,"Coupang, Inc.",Internet Retail,50.44B
CPOP,"Pop Culture Group Co., Ltd",Entertainment,67.32M
CPRI,Capri Holdings Limited,Luxury Goods,2.31B
CPRT,"Copart, Inc.",Specialty Business Services,45.15B
CPRX,"Catalyst Pharmaceuticals, Inc.",Biotechnology,2.41B
CPS,Cooper-Standard Holdings Inc.,Auto Parts,456.18M
CPSH,CPS Technologies Corporation,Electronic Components,48.23M
CPSS,"Consumer Portfolio Services, Inc.",Credit Services,177.22M
CPT,Camden Property Trust,REIT - Residential,11.28B
CQP,"Cheniere Energy Partners, L.P.",Oil & Gas Midstream,25.47B
CR,Crane Company,Specialty Industrial Machinery,11.18B
CRAC,Cal Redwood Acquisition Corp.,Shell Companies,271.99M
CRAI,"CRA International, Inc.",Consulting Services,1.22B
CRAQ,Cal Redwood Acquisition Corp.,Shell Companies,303.82M
CRBG,"Corebridge Financial, Inc.",Asset Management,17.95B
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",Biotechnology,106.25M
CRBU,"Caribou Biosciences, Inc.",Biotechnology,159.04M
CRC,California Resources Corporation,Oil & Gas Exploration & Production,3.96B
CRCL,"Circle Internet Group, Inc.",Capital Markets,36.69B
CRCT,"Cricut, Inc.",Computer Hardware,1.18B
CRD.A,Crawford & Company,Insurance Brokers,459.28M
CRD.B,Crawford & Company,Insurance Brokers,458.67M
CRDF,"Cardiff Oncology, Inc.",Biotechnology,155.01M
CRDL,Cardiol Therapeutics Inc.,Drug Manufacturers - Specialty & Generic,83.92M
CRDO,Credo Technology Group Holding Ltd,Semiconductors,20.35B
CRE,Cre8 Enterprise Limited,Specialty Business Services,176.18M
CREG,Smart Powerr Corp.,Utilities - Renewable,3.14M
CRESY,"Cresud Sociedad Anónima, Comercial, Inmobiliaria, Financiera y Agropecuaria",Conglomerates,679.40M
CREV,Carbon Revolution Public Limited Company,Auto Parts,9.28M
CREX,"Creative Realities, Inc.",Software - Application,26.40M
CRGO,Freightos Limited,Integrated Freight & Logistics,166.64M
CRGX,"CARGO Therapeutics, Inc.",Biotechnology,216.43M
CRGY,Crescent Energy Company,Oil & Gas Integrated,2.29B
CRH,CRH plc,Building Materials,72.23B
CRI,"Carter's, Inc.",Apparel Retail,875.10M
CRIS,"Curis, Inc.",Biotechnology,20.75M
CRK,"Comstock Resources, Inc.",Oil & Gas Exploration & Production,4.62B
CRL,"Charles River Laboratories International, Inc.",Diagnostics & Research,7.33B
CRM,"Salesforce, Inc.",Software - Application,222.44B
CRMD,CorMedix Inc.,Biotechnology,751.72M
CRML,Critical Metals Corp.,Other Industrial Metals & Mining,509.72M
CRMT,"America's Car-Mart, Inc.",Auto & Truck Dealerships,372.24M
CRNC,Cerence Inc.,Software - Application,403.31M
CRNG,"CorEnergy Infrastructure Trust, Inc.",-,13.34M
CRNT,Ceragon Networks Ltd.,Communication Equipment,172.52M
CRNX,"Crinetics Pharmaceuticals, Inc.",Biotechnology,2.58B
CRON,Cronos Group Inc.,Drug Manufacturers - Specialty & Generic,1.01B
CROX,"Crocs, Inc.",Footwear & Accessories,4.18B
CRS,Carpenter Technology Corporation,Metal Fabrication,12.36B
CRSP,CRISPR Therapeutics AG,Biotechnology,5.04B
CRSR,"Corsair Gaming, Inc.",Computer Hardware,957.51M
CRT,Cross Timbers Royalty Trust,Oil & Gas Exploration & Production,51.30M
CRTO,Criteo S.A.,Advertising Agencies,1.22B
CRUS,"Cirrus Logic, Inc.",Semiconductors,5.36B
CRVL,CorVel Corporation,Insurance Brokers,4.49B
CRVO,CervoMed Inc.,Biotechnology,82.68M
CRVS,"Corvus Pharmaceuticals, Inc.",Biotechnology,325.63M
CRWD,"CrowdStrike Holdings, Inc.",Software - Infrastructure,106.29B
CRWS,"Crown Crafts, Inc.","Furnishings, Fixtures & Appliances",30.06M
CRWV,"CoreWeave, Inc.",Software - Infrastructure,67.09B
CSAN,Cosan S.A.,Oil & Gas Refining & Marketing,1.93B
CSBR,"Champions Oncology, Inc.",Biotechnology,87.90M
CSCI,COSCIENS Biopharma Inc.,Biotechnology,10.80M
CSCO,"Cisco Systems, Inc.",Communication Equipment,279.85B
CSGP,"CoStar Group, Inc.",Real Estate Services,39.19B
CSGS,"CSG Systems International, Inc.",Software - Infrastructure,1.72B
CSIQ,Canadian Solar Inc.,Solar,775.42M
CSL,Carlisle Companies Incorporated,Building Products & Equipment,15.63B
CSPI,CSP Inc.,Information Technology Services,107.40M
CSR,Centerspace,REIT - Residential,951.28M
CSTE,Caesarstone Ltd.,Building Products & Equipment,57.02M
CSTL,"Castle Biosciences, Inc.",Diagnostics & Research,555.80M
CSTM,Constellium SE,Aluminum,1.83B
CSV,"Carriage Services, Inc.",Personal Services,745.52M
CSW,"CSW Industrials, Inc.",Specialty Industrial Machinery,4.46B
CSWC,Capital Southwest Corporation,Asset Management,1.26B
CSX,CSX Corporation,Railroads,65.68B
CTAS,Cintas Corporation,Specialty Business Services,90.22B
CTBI,"Community Trust Bancorp, Inc.",Banks - Regional,973.99M
CTEV,Claritev Corporation,Health Information Services,1.02B
CTGO,"Contango Ore, Inc.",Gold,270.03M
CTKB,"Cytek Biosciences, Inc.",Medical Devices,482.18M
CTLP,"Cantaloupe, Inc.",Software - Infrastructure,800.19M
CTM,"Castellum, Inc.",Information Technology Services,107.16M
CTMX,"CytomX Therapeutics, Inc.",Biotechnology,380.95M
CTNM,"Contineum Therapeutics, Inc.",Biotechnology,181.01M
CTNT,Cheetah Net Supply Chain Service Inc.,Integrated Freight & Logistics,5.18M
CTO,"CTO Realty Growth, Inc.",REIT - Diversified,535.93M
CTOR,"Citius Oncology, Inc.",Drug Manufacturers - Specialty & Generic,146.52M
CTOS,"Custom Truck One Source, Inc.",Rental & Leasing Services,1.27B
CTRA,Coterra Energy Inc.,Oil & Gas Exploration & Production,18.28B
CTRE,"CareTrust REIT, Inc.",REIT - Healthcare Facilities,6.58B
CTRI,"Centuri Holdings, Inc.",Utilities - Regulated Gas,1.79B
CTRM,Castor Maritime Inc.,Marine Shipping,20.48M
CTRN,"Citi Trends, Inc.",Apparel Retail,248.03M
CTS,CTS Corporation,Electronic Components,1.17B
CTSH,Cognizant Technology Solutions Corporation,Information Technology Services,33.77B
CTSO,Cytosorbents Corporation,Medical Devices,75.13M
CTVA,"Corteva, Inc.",Agricultural Inputs,49.21B
CTW,CTW Cayman,Electronic Gaming & Multimedia,116.69M
CTXR,"Citius Pharmaceuticals, Inc.",Biotechnology,13.97M
CUB,Lionheart Holdings,Shell Companies,321.39M
CUBE,CubeSmart,REIT - Industrial,8.87B
CUBI,"Customers Bancorp, Inc.",Banks - Regional,1.98B
CUE,"Cue Biopharma, Inc.",Biotechnology,62.65M
CUK,Carnival Corporation & plc,Travel Services,37.27B
CULP,"Culp, Inc.",Textile Manufacturing,53.50M
CUPR,Cuprina Holdings (Cayman) Limited,Medical Instruments & Supplies,177.61M
CURB,Curbline Properties Corp.,REIT - Retail,2.30B
CURI,CuriosityStream Inc.,Broadcasting,239.83M
CURR,CURRENC Group Inc.,Financial - Credit Services,116.41M
CURV,Torrid Holdings Inc.,Apparel Retail,224.85M
CUZ,Cousins Properties Incorporated,REIT - Office,4.46B
CV,"CapsoVision, Inc.",Medical Devices,191.01M
CVAC,CureVac N.V.,Biotechnology,1.22B
CVBF,CVB Financial Corp.,Banks - Regional,2.59B
CVCO,"Cavco Industries, Inc.",Residential Construction,3.58B
CVE,Cenovus Energy Inc.,Oil & Gas Integrated,26.11B
CVEO,Civeo Corporation,Lodging,291.20M
CVGI,"Commercial Vehicle Group, Inc.",Auto Parts,63.62M
CVGW,"Calavo Growers, Inc.",Food Distribution,496.77M
CVI,"CVR Energy, Inc.",Oil & Gas Refining & Marketing,2.60B
CVKD,"Cadrenal Therapeutics, Inc.",Biotechnology,22.39M
CVLG,"Covenant Logistics Group, Inc.",Trucking,570.95M
CVLT,"Commvault Systems, Inc.",Software - Application,8.23B
CVM,CEL-SCI Corporation,Biotechnology,47.95M
CVNA,Carvana Co.,Auto & Truck Dealerships,75.29B
CVR,Chicago Rivet & Machine Co.,Tools & Accessories,11.71M
CVRX,"CVRx, Inc.",Medical Devices,196.40M
CVS,CVS Health Corporation,Healthcare Plans,82.29B
CVU,"CPI Aerostructures, Inc.",Aerospace & Defense,40.30M
CVV,CVD Equipment Corporation,Specialty Industrial Machinery,25.33M
CVX,Chevron Corporation,Oil & Gas Integrated,311.39B
CW,Curtiss-Wright Corporation,Aerospace & Defense,18.44B
CWAN,"Clearwater Analytics Holdings, Inc.",Software - Application,5.54B
CWBC,Community West Bancshares,Banks - Regional,363.29M
CWCO,Consolidated Water Co. Ltd.,Utilities - Regulated Water,472.88M
CWD,CaliberCos Inc.,Asset Management,3.42M
CWEN,"Clearway Energy, Inc.",Utilities - Renewable,3.39B
CWEN.A,"Clearway Energy, Inc.",Utilities - Renewable,5.56B
CWH,"Camping World Holdings, Inc.",Auto & Truck Dealerships,1.58B
CWK,Cushman & Wakefield plc,Real Estate Services,3.13B
CWST,"Casella Waste Systems, Inc.",Waste Management,6.34B
CWT,California Water Service Group,Utilities - Regulated Water,2.78B
CX,"CEMEX, S.A.B. de C.V.",Building Materials,12.59B
CXAI,CXApp Inc.,Software - Application,18.44M
CXDO,"Crexendo, Inc.",Telecom Services,175.89M
CXM,"Sprinklr, Inc.",Software - Application,2.04B
CXT,"Crane NXT, Co.",Specialty Industrial Machinery,3.42B
CXW,"CoreCivic, Inc.",Security & Protection Services,2.16B
CYBN,Cybin Inc.,Biotechnology,167.22M
CYBR,CyberArk Software Ltd.,Software - Infrastructure,20.26B
CYCC,"Cyclacel Pharmaceuticals, Inc.",Biotechnology,14.33M
CYCN,"Cyclerion Therapeutics, Inc.",Biotechnology,7.21M
CYCU,"Cycurion, Inc.",Information Technology Services,11.04M
CYD,China Yuchai International Limited,Auto Manufacturers,1.06B
CYH,"Community Health Systems, Inc.",Medical Care Facilities,327.78M
CYN,Cyngn Inc.,Software - Application,46.32M
CYRX,"Cryoport, Inc.",Integrated Freight & Logistics,405.61M
CYTK,"Cytokinetics, Incorporated",Biotechnology,3.98B
CZFS,"Citizens Financial Services, Inc.",Banks - Regional,261.52M
CZNC,Citizens & Northern Corporation,Banks - Regional,289.82M
CZR,"Caesars Entertainment, Inc.",Resorts & Casinos,4.99B
CZWI,"Citizens Community Bancorp, Inc.",Banks - Regional,148.75M
D,"Dominion Energy, Inc.",Utilities - Regulated Electric,52.48B
DAAQ,Digital Asset Acquisition Corp.,Shell Companies,236.21M
DAC,Danaos Corporation,Marine Shipping,1.73B
DAIC,"CID HoldCo, Inc.",Information Technology Services,136.80M
DAIO,Data I/O Corporation,Electronic Components,30.28M
DAKT,"Daktronics, Inc.",Electronic Components,831.73M
DAL,"Delta Air Lines, Inc.",Airlines,34.70B
DALN,DallasNews Corporation,Publishing,80.39M
DAN,Dana Incorporated,Auto Parts,2.60B
DAO,"Youdao, Inc.",Education & Training Services,1.05B
DAR,Darling Ingredients Inc.,Packaged Foods,4.70B
DARE,"Daré Bioscience, Inc.",Biotechnology,17.44M
DASH,"DoorDash, Inc.",Internet Retail,109.40B
DAVA,Endava plc,Software - Infrastructure,729.78M
DAVE,Dave Inc.,Software - Application,2.52B
DAWN,"Day One Biopharmaceuticals, Inc.",Biotechnology,604.35M
DAY,Dayforce Inc.,Software - Application,7.97B
DB,Deutsche Bank Aktiengesellschaft,Banks - Regional,69.41B
DBD,"Diebold Nixdorf, Incorporated",Software - Application,2.19B
DBI,Designer Brands Inc.,Footwear & Accessories,138.66M
DBRG,"DigitalBridge Group, Inc.",Asset Management,2.02B
DBVT,DBV Technologies S.A.,Biotechnology,275.31M
DBX,"Dropbox, Inc.",Software - Infrastructure,7.25B
DC,Dakota Gold Corp.,Gold,460.32M
DCBO,Docebo Inc.,Software - Application,895.60M
DCGO,DocGo Inc.,Medical Care Facilities,149.65M
DCI,"Donaldson Company, Inc.",Specialty Industrial Machinery,8.43B
DCO,Ducommun Incorporated,Aerospace & Defense,1.33B
DCOM,"Dime Community Bancshares, Inc.",Banks - Regional,1.21B
DCTH,"Delcath Systems, Inc.",Medical Devices,367.65M
DD,"DuPont de Nemours, Inc.",Specialty Chemicals,29.27B
DDC,DDC Enterprise Limited,Packaged Foods,105.60M
DDD,3D Systems Corporation,Computer Hardware,240.09M
DDI,"DoubleDown Interactive Co., Ltd.",Electronic Gaming & Multimedia,470.76M
DDL,Dingdong (Cayman) Limited,Grocery Stores,450.04M
DDOG,"Datadog, Inc.",Software - Application,44.93B
DDS,"Dillard's, Inc.",Department Stores,7.30B
DE,Deere & Company,Farm & Heavy Construction Machinery,137.30B
DEA,"Easterly Government Properties, Inc.",REIT - Office,1.10B
DEC,Diversified Energy Company PLC,Oil & Gas Integrated,1.21B
DECK,Deckers Outdoor Corporation,Footwear & Accessories,14.90B
DEFT,DeFi Technologies Inc.,Capital Markets,961.57M
DEI,"Douglas Emmett, Inc.",REIT - Office,2.85B
DELL,Dell Technologies Inc.,Computer Hardware,93.56B
DENN,Denny's Corporation,Restaurants,189.52M
DEO,Diageo plc,Beverages - Wineries & Distilleries,61.36B
DERM,Journey Medical Corporation,Drug Manufacturers - Specialty & Generic,183.34M
DEVS,DevvStream Corp.,Pollution & Treatment Controls,9.60M
DFDV,DeFi Development Corp.,Software - Infrastructure,315.83M
DFH,"Dream Finders Homes, Inc.",Residential Construction,2.33B
DFIN,"Donnelley Financial Solutions, Inc.",Software - Application,1.43B
DFLI,Dragonfly Energy Holdings Corp.,Electrical Equipment & Parts,14.87M
DG,Dollar General Corporation,Discount Stores,25.21B
DGICA,Donegal Group Inc.,Insurance - Property & Casualty,625.76M
DGICB,Donegal Group Inc.,Insurance - Property & Casualty,614.88M
DGII,Digi International Inc.,Communication Equipment,1.21B
DGLY,"Digital Ally, Inc.",Internet Content & Information,3.11M
DGNX,Diginex Limited,Consulting Services,1.06B
DGX,Quest Diagnostics Incorporated,Diagnostics & Research,19.94B
DGXX,Digi Power X Inc.,Utilities - Independent Power Producers,113.26M
DH,Definitive Healthcare Corp.,Health Information Services,501.54M
DHAI,"DIH Holding US, Inc.",Medical Devices,10.32M
DHC,Diversified Healthcare Trust,REIT - Healthcare Facilities,813.57M
DHI,"D.R. Horton, Inc.",Residential Construction,46.20B
DHIL,"Diamond Hill Investment Group, Inc.",Asset Management,392.18M
DHR,Danaher Corporation,Diagnostics & Research,143.04B
DHT,"DHT Holdings, Inc.",Oil & Gas Midstream,1.79B
DHX,"DHI Group, Inc.",Software - Application,91.12M
DIBS,"1stdibs.Com, Inc.",Internet Retail,95.15M
DIN,"Dine Brands Global, Inc.",Restaurants,320.97M
DINO,HF Sinclair Corporation,Oil & Gas Refining & Marketing,8.09B
DIOD,Diodes Incorporated,Semiconductors,2.36B
DIS,The Walt Disney Company,Entertainment,202.36B
DIT,AMCON Distributing Company,Food Distribution,67.77M
DJCO,Daily Journal Corporation,Software - Application,562.95M
DJT,Trump Media & Technology Group Corp.,Internet Content & Information,4.78B
DK,"Delek US Holdings, Inc.",Oil & Gas Refining & Marketing,1.24B
DKI,Darkiris Inc.,Electronic Gaming & Multimedia,68.60M
DKL,"Delek Logistics Partners, LP",Oil & Gas Refining & Marketing,2.25B
DKNG,DraftKings Inc.,Gambling,21.21B
DKS,"DICK'S Sporting Goods, Inc.",Specialty Retail,16.96B
DLB,"Dolby Laboratories, Inc.",Specialty Business Services,6.88B
DLHC,DLH Holdings Corp.,Specialty Business Services,79.13M
DLNG,Dynagas LNG Partners LP,Oil & Gas Midstream,132.19M
DLO,DLocal Limited,Software - Infrastructure,3.04B
DLPN,"Dolphin Entertainment, Inc.",Advertising Agencies,12.51M
DLR,"Digital Realty Trust, Inc.",REIT - Specialty,58.60B
DLTH,Duluth Holdings Inc.,Apparel Retail,83.05M
DLTR,"Dollar Tree, Inc.",Discount Stores,23.85B
DLX,Deluxe Corporation,Conglomerates,848.33M
DLXY,Delixy Holdings Limited,Oil & Gas Refining & Marketing,78.66M
DMAA,Drugs Made In America Acquisition Corp.,Shell Companies,344.56M
DMAC,DiaMedica Therapeutics Inc.,Biotechnology,236.74M
DMLP,"Dorchester Minerals, L.P.",Oil & Gas Exploration & Production,1.19B
DMRC,Digimarc Corporation,Software - Application,236.52M
DMYY,"dMY Squared Technology Group, Inc.",Shell Companies,49.96M
DNA,"Ginkgo Bioworks Holdings, Inc.",Biotechnology,659.01M
DNB,"Dun & Bradstreet Holdings, Inc.",Financial Data & Stock Exchanges,4.06B
DNLI,Denali Therapeutics Inc.,Biotechnology,2.02B
DNN,Denison Mines Corp.,Uranium,1.91B
DNOW,DNOW Inc.,Industrial Distribution,1.51B
DNP,DNP Select Income Fund Inc.,Asset Management - Income,3.62B
DNTH,"Dianthus Therapeutics, Inc.",Biotechnology,608.36M
DNUT,"Krispy Kreme, Inc.",Grocery Stores,547.84M
DOC,"Healthpeak Properties, Inc.",REIT - Healthcare Facilities,11.91B
DOCN,"DigitalOcean Holdings, Inc.",Software - Infrastructure,2.69B
DOCS,"Doximity, Inc.",Health Information Services,11.58B
DOCU,"DocuSign, Inc.",Software - Application,13.57B
DOGZ,Dogness (International) Corporation,Leisure,102.48M
DOLE,Dole plc,Farm Products,1.28B
DOMH,Dominari Holdings Inc.,Capital Markets,78.05M
DOMO,"Domo, Inc.",Software - Application,577.37M
DOOO,BRP Inc.,Recreational Vehicles,3.78B
DORM,"Dorman Products, Inc.",Auto Parts,4.36B
DOUG,Douglas Elliman Inc.,Real Estate Services,196.93M
